ID;anio;mes;Sexo;Edad;region;PEA;Desempleo;Salario
115581;2022;1;2;75;1;0;0;0
115591;2022;1;1;31;1;1;0;10918948
115592;2022;1;2;29;1;1;0;3718948
115601;2022;1;2;26;1;1;0;15418948
115611;2022;1;2;50;1;1;0;9318948
115621;2022;1;2;36;1;1;0;3618948
115631;2022;1;2;28;1;1;0;7818948
115641;2022;1;1;43;1;1;0;19068948
115642;2022;1;2;36;1;1;0;5118948
115651;2022;1;1;29;1;1;0;7228948
115661;2022;1;1;51;1;1;0;9318948
115662;2022;1;1;53;1;1;0;6318948
115671;2022;1;2;29;1;1;0;5000
115681;2022;1;2;60;1;1;0;18000
115682;2022;1;2;27;1;1;0;3118948
115691;2022;1;1;30;1;1;0;4818948
115692;2022;1;2;29;1;1;0;3520648
115701;2022;1;2;76;1;0;0;0
115711;2022;1;1;33;1;1;0;4518948
115721;2022;1;1;38;1;1;0;11118948
115722;2022;1;2;36;1;1;1;0
115731;2022;1;2;32;1;1;0;5618948
115741;2022;1;1;67;1;1;0;40000
115751;2022;1;1;39;1;1;0;3748948
115752;2022;1;2;32;1;1;0;10403586
115761;2022;1;1;33;1;1;0;12400000
115762;2022;1;2;32;1;1;0;6518948
115765;2022;1;1;67;1;0;0;0
115766;2022;1;2;67;1;0;0;0
115771;2022;1;1;73;1;0;0;0
115781;2022;1;2;31;1;1;0;5618948
115791;2022;1;1;33;1;1;0;18527533
115792;2022;1;2;31;1;1;0;9018948
115801;2022;1;2;52;1;1;0;17218948
115802;2022;1;1;59;1;1;0;23318948
115803;2022;1;1;20;1;1;0;1918948
115804;2022;1;2;18;1;1;1;0
115811;2022;1;2;35;1;1;0;4818048
115821;2022;1;2;60;1;1;0;7059528
115831;2022;1;2;60;1;0;0;0
115841;2022;1;2;46;1;1;0;9408948
115851;2022;1;1;29;1;1;0;777673
115861;2022;1;1;34;1;1;0;30000
115862;2022;1;2;39;1;1;0;3198948
115871;2022;1;1;26;1;1;0;4118948
115881;2022;1;2;55;1;1;0;17718948
115882;2022;1;1;54;1;1;0;38718948
115883;2022;1;1;27;1;1;0;5418948
115884;2022;1;1;25;1;1;0;6918948
115891;2022;1;2;31;1;1;0;4518948
115892;2022;1;2;30;1;1;1;0
115901;2022;1;1;70;1;0;0;110000
115902;2022;1;2;66;1;1;0;7118948
115911;2022;1;2;42;1;1;0;2318948
115912;2022;1;1;43;1;1;0;10818948
115921;2022;1;1;35;1;1;0;10818948
115922;2022;1;2;35;1;1;0;3318948
115931;2022;1;1;39;1;0;0;0
115932;2022;1;2;38;1;0;0;0
115941;2022;1;2;83;1;0;0;0
115951;2022;1;1;25;1;1;0;4818948
115952;2022;1;2;22;1;1;0;3618948
115953;2022;1;2;54;1;1;0;2518948
115961;2022;1;2;62;1;1;0;2500
115971;2022;1;2;51;1;0;0;0
115981;2022;1;2;23;1;0;0;0
115991;2022;1;1;53;1;1;0;6918948
116001;2022;1;2;26;1;1;0;21000
116011;2022;1;1;25;1;1;0;5438948
116012;2022;1;2;25;1;1;0;4838948
116021;2022;1;1;27;1;0;0;0
116031;2022;1;2;60;1;0;0;0
116032;2022;1;1;69;1;0;0;0
116041;2022;1;2;41;1;1;0;13918948
116042;2022;1;1;37;1;1;0;5818948
116051;2022;1;1;58;1;0;0;0
116052;2022;1;2;57;1;1;0;4318948
116053;2022;1;2;17;1;0;0;0
116061;2022;1;1;56;1;1;0;10818948
116062;2022;1;2;39;1;1;0;9118948
116071;2022;1;2;51;1;1;0;7418948
116072;2022;1;2;23;1;1;0;3218948
116081;2022;1;1;79;1;0;0;0
116082;2022;1;2;75;1;0;0;0
116091;2022;1;2;38;1;1;0;8468948
116101;2022;1;1;74;1;0;0;0
116111;2022;1;2;56;1;1;0;3818948
116112;2022;1;1;30;1;1;0;2118948
116113;2022;1;1;82;1;0;0;0
116121;2022;1;1;43;1;0;0;0
116131;2022;1;2;55;1;1;0;2618948
116132;2022;1;1;59;1;0;0;0
116133;2022;1;1;14;1;0;0;0
116141;2022;1;2;55;1;1;0;3000
116151;2022;1;2;32;1;1;0;2318948
116152;2022;1;1;40;1;1;0;10078388
